Original Blend Name,Blend Number,PC,GPP,SC,CC,FA,VA,GBA,FBC,QUARTZ,PLC,Cumulative Heat (J/g),Blend Type,Replacement Level,Group_names
30% PLC + 20% GPP + 50% FBC,81,0,20,0,0,0,0,0,50,0,30,154.77,Ternary,70,Group_8_3_PLC_30
30% PLC + 30% GPP + 40% FBC,82,0,30,0,0,0,0,0,40,0,30,150.44,Ternary,70,Group_8_3_PLC_30
30% PLC + 50% GPP + 20% FBC,83,0,50,0,0,0,0,0,20,0,30,157.05,Ternary,70,Group_8_3_PLC_30
30% PLC + 50% GPP + 20% CC,84,0,50,0,20,0,0,0,0,0,30,159.07,Ternary,70,Group_8_3_PLC_30
30% PLC + 40% GPP + 30% CC,85,0,40,0,30,0,0,0,0,0,30,163.78,Ternary,70,Group_8_3_PLC_30
30% PLC + 30% GPP + 40% CC,86,0,30,0,40,0,0,0,0,0,30,164.96,Ternary,70,Group_8_3_PLC_30
90% PLC + 10% QUARTZ,87,0,0,0,0,0,0,0,0,10,90,297.95,Binary,10,Group_4_PLC_Q
80% PLC + 20% QUARTZ,88,0,0,0,0,0,0,0,0,20,80,281.86,Binary,20,Group_4_PLC_Q
70% PLC + 30% QUARTZ,89,0,0,0,0,0,0,0,0,30,70,264.26,Binary,30,Group_4_PLC_Q
60% PLC + 40% QUARTZ,90,0,0,0,0,0,0,0,0,40,60,237.75,Binary,40,Group_4_PLC_Q
50% PLC + 50% QUARTZ,91,0,0,0,0,0,0,0,0,50,50,200.71,Binary,50,Group_4_PLC_Q
